disable_state_election_events_title;Disable State Election Events;;;;;;;;;;;;x,,
disable_state_election_events_desc;Tired of the event spree during an election? Click here to toggle them off! (Note: Country-wide election events will remain active);;;;;;;;;;;;x,,
enable_state_election_events_title;Enable State Election Events;;;;;;;;;;;;x,,
enable_state_election_events_desc;Want the usual state-wide election events back? Click here to toggle them on!;;;;;;;;;;;;x,,
disable_rgo_change_events_title;Disable RGO Change Events;;;;;;;;;;;;x,,
disable_rgo_change_events_desc;Tired of your farmers asking you for the 42nd time to intensify farming procedures? You don't want to change your grain provinces into wool? (Note: Colonial Farming events will remain active);;;;;;;;;;;;x,,
enable_rgo_change_events_title;Enable RGO Change Events;;;;;;;;;;;;x,,
enable_rgo_change_events_desc;Want to have the chance to change your RGO goods again? Click here to toggle the events on!;;;;;;;;;;;;x,,
disable_rgo_spread_events_title;Disable State RGO Improvement Events;;;;;;;;;;;;x,,
disable_rgo_spread_events_desc;Tired of every state telling you that it has been electrified? Fear not, with this decision RGO inventions will instead spread country-wide, reducing event spam for large nations significantly.;;;;;;;;;;;;x,,
enable_rgo_spread_events_title;Enable State RGO Improvement Events;;;;;;;;;;;;x,,
enable_rgo_spread_events_desc;Want the original RGO spreading back? Click here! \n\n (NOTE: You will lose all EARLY and IMPROVED modifiers without compensation.);;;;;;;;;;;;x,,
local_tractors_low;Early Tractors;;;;;;;;;;;;x,,
local_tractors_mid;Improved Tractors;;;;;;;;;;;;x,,
local_tractors_high;Tractors;;;;;;;;;;;;x,,
local_electricity_low;Early Electricity;;;;;;;;;;;;x,,
local_electricity_mid;Improved Electricity;;;;;;;;;;;;x,,
local_electricity_high;Electricity;;;;;;;;;;;;x,,
local_nitroglycerin_low;Early Nitroglycerin;;;;;;;;;;;;x,,
local_nitroglycerin_mid;Improved Nitroglycerin;;;;;;;;;;;;x,,
local_nitroglycerin_high;Nitroglycerin;;;;;;;;;;;;x,,
local_distribution_channels_low;Early Distribution Channels;;;;;;;;;;;;x,,
local_distribution_channels_mid;Improved Distribution Channels;;;;;;;;;;;;x,,
local_distribution_channels_high;Distribution Channels;;;;;;;;;;;;x,,
local_machine_tools_low;Early Machine Tools;;;;;;;;;;;;x,,
local_machine_tools_mid;Improved Machine Tools;;;;;;;;;;;;x,,
local_machine_tools_high;Machine Tools;;;;;;;;;;;;x,,
EVTNAME666900;Early Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666900;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666900;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666901;Improved Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666901;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666901;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666902;Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666902;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666902;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666910;Early Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666910;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666910;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666911;Improved Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666911;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666911;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666912;Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666912;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666912;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666920;Early Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666920;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666920;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666921;Improved Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666921;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666921;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666922;Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666922;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666922;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666930;Early Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666930;Mother! Mother! They've opened a new store in town!'\n\nThe nineteenth century saw the development of vastly improved channels for the distribution of goods to broader groups of customers. The opening of new, specialized and industrialized retailers was essential in bringing new industrial goods, produced in factories, to consumers. The new store in $COUNTRYNAME$ will increase the efficiency of the local farms, as farmers have to spend less time in travel to and from markets.;;;;;;;;;;;;x,,
EVTOPTA666930;Excellent!;;;;;;;;;;;;x,,
EVTNAME666931;Improved Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666931;Mother! Mother! They've opened a new store in town!'\n\nThe nineteenth century saw the development of vastly improved channels for the distribution of goods to broader groups of customers. The opening of new, specialized and industrialized retailers was essential in bringing new industrial goods, produced in factories, to consumers. The new store in $COUNTRYNAME$ will increase the efficiency of the local farms, as farmers have to spend less time in travel to and from markets.;;;;;;;;;;;;x,,
EVTOPTA666931;Excellent!;;;;;;;;;;;;x,,
EVTNAME666932;Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
